Geneid,0h-T5-1,0h-T5-2,0h-T5-3,0h-T5-4,2h-T5-1,2h-T5-2,2h-T5-3,2h-T5-4,C-L3-T5-1,C-L3-T5-2,C-L3-T5-3,C-L3-T5-4
CG12299,1,91,0,0,418,23,28,33,525,99,62,5
CG6729,0,206,0,52,254,102,104,16,377,270,240,0
mir-4970,0,0,0,0,0,0,0,0,0,0,0,0
CG17124,561,551,640,257,867,762,708,958,23,407,170,368
mir-9378,0,0,0,0,0,0,0,0,0,0,8,0
CG6495,0,0,0,0,0,0,0,0,0,0,0,0
Ubc2,584,538,1044,209,1357,933,954,1301,1213,835,553,734
CG6724,325,424,1628,231,413,443,350,487,1293,1451,1565,1161
CG17127,0,5,0,0,0,0,0,0,0,0,0,0
CG31869,137,133,208,65,97,103,26,29,102,228,29,29
lncRNA:CR44582,0,0,0,0,0,0,0,0,0,0,0,0
CG31870,0,0,0,0,0,0,0,0,0,0,0,109
lncRNA:CR44581,0,15,0,0,0,0,14,0,0,0,9,0
Nos,78,41,0,0,67,16,44,82,0,0,18,0
CG6508,0,0,0,0,0,0,0,0,0,0,0,0
CG17134,0,0,0,0,0,0,0,0,0,0,0,0
CG6700,311,391,431,222,589,155,340,214,817,228,393,643
mir-4987,0,0,0,0,0,0,0,0,0,0,0,0
CG17140,0,0,0,0,0,0,0,0,0,0,0,0
CG17139,0,0,0,0,0,0,0,0,0,0,0,0
Porin2,0,0,0,0,0,0,0,0,40,0,0,0
porin,6582,7517,16479,4079,10718,6809,7968,9766,10380,8094,10101,7263
SmydA-3,0,0,0,0,32,0,0,0,0,0,0,0
Dnz1,178,69,130,106,138,180,114,206,136,0,240,131
aurB,102,150,682,96,133,116,97,212,535,517,282,498
Stam,207,185,540,298,488,237,49,821,379,200,313,21
lncRNA:CR43807,0,0,0,0,0,0,0,0,0,0,0,0
CG12517,0,0,0,0,0,0,0,0,0,0,0,0
lncRNA:CR45453,0,0,0,0,0,0,0,0,0,0,0,0
lncRNA:CR45454,0,0,0,0,0,0,0,0,0,0,0,0
lncRNA:CR44490,0,0,0,0,0,0,0,0,0,0,0,0
CG14071,0,0,0,0,0,0,0,0,0,0,0,0
lncRNA:CR44491,0,0,0,0,0,0,0,0,0,0,0,0
CG14070,0,0,0,0,0,0,0,0,0,0,0,0
lncRNA:CR45724,0,0,0,0,0,0,0,0,0,0,0,0
CG7309,0,0,0,0,0,0,0,0,0,0,0,0
CG14069,0,0,0,0,0,0,0,0,0,0,0,0
dpr2,0,0,0,0,0,0,0,0,0,0,0,0
CG14072,0,0,0,0,0,0,0,20,0,0,0,0
lncRNA:CR44492,0,0,0,0,0,0,0,0,0,0,0,0
lncRNA:CR44493,0,0,0,0,0,0,0,0,0,0,0,0
CG33129,4881,4158,11129,1952,8577,5016,6423,8601,5755,4852,5355,3972
YL-1,275,146,266,98,143,160,3,94,87,0,257,184
CG16743,0,0,0,0,26,0,34,0,0,0,0,255
abo,232,103,1,88,524,185,162,84,459,381,209,423
ATPsynG,2080,3464,10457,1888,4233,2847,4742,4454,4536,2634,4694,3398
SCAR,477,290,1273,269,949,675,206,886,455,223,660,92
piwi,0,1,0,0,0,0,0,0,0,0,0,0
CG12253,0,101,230,50,72,65,199,51,64,0,44,91
TTLL4A,48,443,336,349,395,353,49,652,699,567,1244,780
aub,0,26,0,35,52,10,134,111,0,0,0,0
lectin-33A,0,0,0,0,0,0,0,0,0,0,0,0
RpL9,991,2175,5111,1176,1807,1432,2187,2551,3645,2884,4086,2885
Nup154,0,559,896,168,375,168,36,568,789,295,1380,775
Art8,0,4,0,0,0,2,2,3,4,0,5,9
asRNA:CR45778,0,0,0,0,0,0,0,0,0,4,0,0
dUTPase,0,0,0,0,0,0,0,0,0,0,0,0
Samuel,390,342,1205,313,922,411,501,451,955,680,649,1459
Acp32CD,0,0,0,0,0,0,0,0,0,0,0,0
CG14913,0,0,0,0,43,0,0,0,0,0,0,0
CG18666,0,0,7,5,79,8,5,3,15,0,17,77
asRNA:CR46264,0,0,0,0,0,0,0,0,0,0,0,0
CG14915,0,0,0,0,0,0,0,0,0,0,0,0
lncRNA:CR45725,0,0,0,0,0,0,0,0,0,0,0,0
CG43725,0,0,0,0,0,0,0,0,0,0,0,0
AstC,0,0,0,0,0,0,0,0,0,0,0,0
AstCC,0,0,0,0,0,0,0,0,0,0,0,0
CG16854,0,0,0,0,0,0,0,0,0,0,0,0
Wdr59,90,50,1,39,8,52,5,170,0,0,92,57
Ge-1,73,382,721,161,56,195,236,146,932,685,464,160
Reps,96,163,111,34,265,150,85,152,690,259,336,115
l(2)gd1,1,45,1148,182,1,138,1,226,110,330,142,361
CG6201,110,42,0,22,32,34,79,0,10,272,0,205
Gr32a,0,0,0,0,0,0,0,0,0,0,0,0
CG6230,49,293,141,59,1234,269,491,322,1091,899,147,104
CG14921,0,0,0,0,0,0,0,0,0,0,0,7
Csl4,125,116,306,130,187,83,258,140,407,321,570,612
Nup160,0,140,122,0,98,20,139,1,306,35,134,44
RfC38,178,79,516,53,142,143,43,141,353,336,310,132
CG4751,0,20,7,0,0,11,8,19,101,0,57,13
hgo,0,0,0,0,0,0,0,0,0,0,0,0
Gyc32E,0,0,0,0,0,1,0,0,0,0,0,0
CG31867,0,0,0,0,0,0,0,0,0,0,0,0
CG6287,1490,1047,3454,625,2203,1334,1845,1668,1431,685,2094,1653
Ca-beta,0,0,0,0,3,0,0,0,23,3,10,1
Vm32E,0,0,0,0,0,0,0,0,22,0,8,17
CG4788,191,190,814,167,200,272,129,717,350,312,303,429
lncRNA:CR43859,0,0,0,0,0,0,0,0,0,0,0,0
ab,27,89,271,100,557,21,74,141,405,357,556,462
snoRNA:Me18S-G642,0,0,0,0,0,0,0,0,0,0,0,0
cmet,0,0,1,0,0,0,0,0,0,0,1,55
cana,102,185,583,87,458,89,178,4,100,171,355,81
CG33695,103,179,819,97,193,240,171,34,371,561,529,453
asRNA:CR44182,0,0,0,0,0,0,0,0,0,0,0,0
Ppt2,279,230,704,168,690,269,341,753,444,167,630,718
mre11,374,301,1180,139,211,350,193,317,312,323,79,0
Osi21,0,0,0,0,0,0,0,0,0,0,0,0
lncRNA:CR43409,0,0,0,0,0,0,0,0,0,0,0,0
lncRNA:CR43721,0,0,0,0,0,0,0,0,0,0,0,0
lncRNA:CR44583,0,0,0,0,0,0,0,0,0,13,0,0
lncRNA:CR44584,0,0,0,0,0,0,0,0,0,0,0,0
lncRNA:CR44585,0,0,0,0,0,0,0,0,0,0,0,0
CG14926,0,0,0,0,0,14,16,26,0,0,0,0
lncRNA:CR44586,0,0,0,0,0,0,0,0,0,0,0,0
salr,10,23,36,47,61,32,52,17,123,55,1,149
lncRNA:CR43681,0,0,0,0,0,0,0,0,0,0,0,0
salm,5,30,0,21,98,51,26,79,107,40,20,49
CG43355,0,0,0,0,0,0,1,0,0,0,0,1
sala,0,0,0,0,0,0,0,0,0,0,0,0
CG6488,224,236,274,73,524,368,329,330,180,45,428,173
spz4,0,0,0,0,0,0,0,0,17,0,141,9
Dlg5,59,213,396,81,330,103,40,20,213,18,30,251
CG4970,0,0,0,0,0,0,0,0,0,0,0,0
CG14929,0,0,0,0,0,0,0,0,0,0,0,0
CG14930,0,0,0,0,0,0,0,0,0,0,0,0
CG43153,0,0,0,0,0,0,0,0,0,0,0,2
CG31705,0,555,0,76,118,109,86,87,625,853,544,2019
CG31706,0,0,0,0,0,0,0,0,0,0,0,0
CG34162,0,0,0,0,0,0,0,0,0,0,0,0
asRNA:CR42743,0,0,0,0,0,0,0,0,0,0,0,0
CG43438,0,0,0,0,0,0,0,0,0,0,0,0
lncRNA:CR44494,0,0,0,0,0,0,0,0,0,0,0,0
lncRNA:CR44495,0,0,0,0,0,0,0,0,0,0,0,0
kek2,0,0,0,0,0,8,0,0,0,0,0,0
Mst33A,0,0,0,0,0,0,0,0,0,0,0,0
lncRNA:CR44496,0,0,0,0,0,0,0,0,0,0,0,0
Acp33A,0,0,0,0,0,0,0,0,0,0,0,0
spag4,0,0,0,0,0,0,0,0,0,0,0,0
CG6614,0,0,0,0,0,0,0,0,0,0,0,0
CG12307,0,0,0,0,0,0,0,0,0,0,0,0
CG4983,0,0,0,0,0,0,0,0,0,0,0,0
CG43167,0,0,0,0,0,0,0,0,0,0,0,0
lncRNA:CR44497,0,0,0,0,0,0,0,0,0,0,0,0
lncRNA:CR44479,0,0,0,0,0,0,0,0,0,0,0,0
lncRNA:CR44480,0,0,0,0,0,0,0,0,0,0,0,0
CG44477,0,0,0,0,0,0,0,0,0,0,0,0
lncRNA:CR44481,0,0,0,0,0,0,0,0,0,0,0,0
CG4988,0,0,0,0,0,0,0,0,0,0,0,0
lncRNA:CR44143,0,0,0,0,0,0,0,0,0,0,0,0
lncRNA:CR44145,0,0,0,0,0,0,0,0,0,0,0,0
Vha100-5,0,0,0,0,0,0,0,0,0,0,0,0
asRNA:CR44144,0,0,0,0,0,0,0,0,0,0,0,0
CG42470,0,0,0,0,0,0,0,0,0,0,0,0
CG42471,0,0,0,0,0,0,0,0,0,0,0,0
Sfp33A1,0,0,0,0,0,0,0,0,0,0,0,0
CG14931,0,0,0,0,0,0,0,0,0,0,0,0
CG14932,0,0,0,0,0,0,0,0,0,0,0,0
Tsp33B,0,0,0,0,0,0,0,0,0,0,0,0
CG14937,0,0,0,0,1,0,0,0,87,0,0,0
crol,460,594,1613,425,1305,487,841,953,1141,523,670,494
snoRNA:Me18S-A934,0,0,0,0,0,0,0,0,0,0,0,0
CycY,53,362,265,152,814,531,333,879,417,684,453,398
Pde1c,0,0,0,0,14,0,0,0,0,0,0,0
esc,53,41,128,72,23,73,164,75,210,103,142,26
CG45011,0,0,0,0,0,0,0,0,0,0,0,0
CG45012,0,0,0,0,0,0,0,0,0,0,0,0
lncRNA:CR45013,0,0,0,0,0,0,0,0,0,0,0,0
lncRNA:CR45014,0,0,0,0,0,0,0,0,0,0,0,0
Sfp33A4,0,0,0,0,0,0,0,0,0,0,0,0
Sfp33A2,0,0,0,0,0,0,0,0,0,0,0,0
lncRNA:CR43937,0,0,0,0,0,0,0,0,0,0,0,0
Sfp33A3,0,0,0,0,0,0,0,0,0,0,0,0
asRNA:CR43936,0,0,0,0,0,0,0,0,0,0,0,0
CG31704,0,0,0,0,0,0,0,0,0,0,0,0
CG44008,3,10,0,0,65,13,38,9,9,0,0,19
CG46426,0,0,0,0,0,0,0,0,0,0,0,0
CG14933,0,0,0,0,0,0,0,0,0,0,0,0
CG42486,0,0,0,0,0,0,0,0,0,0,0,0
Mal-B1,0,0,0,0,0,0,0,0,0,0,0,0
Mal-B2,0,62,0,0,0,7,0,0,0,0,1,143
CG42751,0,0,0,0,0,0,0,0,0,0,0,0
Or33a,0,0,0,0,0,0,0,0,0,0,0,0
Or33b,0,0,0,0,0,0,0,0,0,0,0,0
Or33c,0,0,0,0,0,0,0,0,0,0,0,0
Crys,0,0,0,0,0,0,0,0,0,0,0,0
CG16964,0,0,0,0,0,0,0,0,0,0,0,0
lncRNA:CR43314,608,648,4028,748,1144,441,986,1224,468,578,220,1108
bft,0,0,0,0,0,0,0,0,0,0,0,0
CG16965,0,0,0,0,0,0,0,0,0,0,0,0
CG6686,101,336,8,178,82,85,136,325,512,697,374,635
CG34163,133,209,426,91,121,57,86,221,404,235,456,467
zuc,0,26,99,0,20,1,0,71,86,72,42,17
dgt2,259,114,507,78,152,48,118,48,214,184,305,134
escl,85,99,649,51,279,71,91,177,185,7,272,206
Ada1-2,8,34,56,14,9,18,59,107,2,31,66,9
CG18789,43,25,37,8,58,15,11,2,14,5,15,0
Qtzl,263,201,539,183,288,161,206,228,270,371,287,267
Ada1-1,10,31,40,22,22,9,49,38,0,0,0,0
CG18787,49,29,101,15,122,47,58,85,69,100,62,75
Nfs1,546,292,1034,574,1324,751,886,775,758,563,1387,744
Hacd1,617,596,1373,268,2295,1419,1506,1469,747,918,1524,624
Rh5,0,0,0,0,0,4,0,0,0,0,86,0
lncRNA:CR44588,0,0,0,0,0,1,0,0,0,0,3,10
Wdr81,37,9,0,70,5,5,0,2,0,0,11,62
lncRNA:CR44587,0,0,0,0,0,0,0,0,0,0,99,29
dmGlut,0,72,98,140,339,267,331,654,34,0,0,0
CG18788,0,0,0,0,0,0,0,0,0,0,0,0
Tom70,51,492,991,182,436,357,354,480,1213,960,2410,407
CG6766,594,852,1038,361,1466,1448,1825,1017,323,378,801,462
asRNA:CR46070,0,0,0,0,0,0,0,0,0,0,0,0
CG6785,9,13,293,1,6,20,0,2,0,0,0,9
CG6770,2599,4931,5586,1821,4138,2374,2727,5875,4142,2360,3547,5250
lncRNA:CR44589,1,2,0,5,3,1,33,19,1,2,4,5
Plzf,0,46,0,0,0,20,0,0,0,193,17,0
CG14945,0,0,0,0,521,0,0,47,0,0,0,0
JhI-21,1563,2458,2952,918,3315,2730,1855,2421,1033,939,1189,635
RpL7-like,0,0,0,0,0,0,0,0,0,0,0,0
CG34164,0,0,0,0,0,0,0,0,0,0,0,0
Rab3-GAP,0,206,0,91,0,19,104,1,331,0,270,227
firl,0,244,51,24,563,197,558,567,0,0,0,119
CG14947,0,0,0,0,0,0,0,0,0,0,0,0
lncRNA:CR44591,0,0,0,0,0,0,0,0,0,0,0,0
lncRNA:CR44590,0,0,0,0,0,0,0,0,0,0,0,0
prd,0,0,0,0,0,0,0,0,0,0,0,0
asRNA:CR44592,0,0,0,0,0,0,0,0,0,0,0,0
lncRNA:CR44593,0,0,0,0,0,0,0,0,0,0,0,0
Pex19,354,239,591,173,707,338,260,295,779,622,724,672
lncRNA:CR44594,0,0,0,0,0,0,0,0,0,0,0,0
CG6712,203,223,342,147,342,123,348,209,700,676,563,357
Mt2,31,15,319,52,166,56,153,30,260,38,291,155
Ced-12,342,962,1585,481,2060,1398,1609,1704,235,570,794,418
Patsas,0,0,0,0,0,0,0,0,0,0,0,0
ThrRS,1317,3314,3448,1300,3238,2274,2410,3471,3202,2161,2860,1525
Rab6,7869,6045,15384,3724,13638,11885,10434,8834,2579,2621,4427,3199
Phae1,0,0,0,0,0,0,0,0,0,0,0,0
Phae2,0,0,0,0,0,0,0,0,0,0,0,0
CG17211,0,0,30,0,154,1,0,0,39,0,0,0
rho-6,0,0,0,0,0,0,0,0,0,0,0,0
Gr33a,0,0,0,0,0,0,0,0,0,0,0,0
CG31760,0,1,0,2,0,1,0,0,0,0,0,0
CG31861,0,0,0,0,0,0,0,0,0,0,0,0
ZnT33D,0,0,0,0,0,0,0,0,0,0,0,0
CG17217,69,87,116,31,81,37,97,27,0,0,0,0
CG6583,987,1357,3725,793,1232,867,1627,1845,1522,1400,1757,2066
crok,1700,1629,6760,1024,2426,1309,2759,2416,2447,1033,2744,3089
lncRNA:CR43356,0,0,0,0,0,0,0,0,0,5,0,0
bru1,0,0,0,0,0,0,0,0,0,0,1,19
atilla,0,0,0,0,0,6,0,0,96,76,56,117
CG31759,131,82,0,66,162,121,124,175,317,482,84,135
lncRNA:CR45282,0,0,0,0,0,0,0,0,0,0,0,0
lncRNA:CR45283,0,0,0,0,0,0,0,0,0,0,0,0
CG31862,0,0,0,0,0,0,0,0,0,0,0,0
CG43813,0,0,0,0,0,0,0,0,0,0,0,0
bru2,87,260,632,142,682,411,498,540,227,54,166,169
CG17010,0,0,0,0,0,0,0,0,0,0,0,0
Pkd2,0,0,0,0,0,0,0,0,0,0,0,0
vir-1,6825,5529,9895,2398,9467,5470,7035,7784,7276,7099,8053,6656
CG6405,0,4,0,0,27,10,0,0,0,0,65,0
CG5446,776,1324,3837,698,2076,1306,1599,1678,1109,447,1465,835
CG6388,342,244,1165,131,355,259,85,415,1073,591,644,368
CG5435,0,0,0,0,0,0,0,0,0,0,0,11
SC35,1923,1116,8303,898,4053,2551,3392,3370,4362,2637,4092,3202
snoRNA:SC35-a,0,2,6,8,13,0,0,2,0,0,0,0
snoRNA:SC35-b,2,5,22,9,25,0,0,5,0,0,0,1
eRF3,1992,1738,5962,871,6793,3623,1557,2806,3027,2505,2339,1586
Oatp33Ea,0,0,0,0,0,0,0,0,0,0,0,0
CG5421,0,0,0,0,0,0,0,0,0,0,0,0
Oatp33Eb,0,0,0,0,0,0,0,0,0,0,0,0
CG5418,0,0,0,0,0,0,0,0,0,0,0,0
CR17024,0,0,0,0,0,0,0,0,0,0,0,0
bun,212,492,1304,261,1081,332,555,420,1052,553,726,758
mir-967,0,0,0,0,0,0,0,0,0,0,0,0
t-cup,0,0,0,0,0,0,0,0,0,0,0,0
CG43051,74,86,175,62,252,24,57,78,423,290,628,763
snoRNA:CG43051-a,0,0,0,0,0,0,0,0,0,0,0,0
lncRNA:CR42746,0,0,0,0,6,0,0,1,0,0,0,7
lncRNA:CR44598,0,0,0,0,0,0,0,0,0,0,0,0
lncRNA:CR44597,0,0,0,0,0,0,0,0,0,0,0,0
lncRNA:CR44596,0,0,0,0,1,0,0,0,0,0,0,0
lncRNA:CR44595,0,0,0,0,0,0,0,0,0,0,0,0
nub,17,22,47,6,24,5,0,0,0,0,109,2
Ref2,0,0,0,0,0,0,0,0,0,0,0,0
pdm2,0,0,0,0,0,0,0,0,0,0,0,0
Nepl7,0,0,0,0,0,0,0,0,0,0,0,0
CCT4,2829,3753,6002,1974,5709,4044,4397,4023,6547,4412,7574,4172
CG6153,194,150,575,113,309,295,330,260,201,155,594,96
IFT43,55,50,0,0,96,39,47,42,38,37,35,189
PICK1,0,0,0,0,0,6,0,0,0,0,0,0
CG5781,0,0,0,0,0,0,0,0,0,0,0,0
CG17036,0,56,0,63,30,42,89,155,90,0,0,6
CG5776,1,184,485,44,35,94,109,153,577,132,262,785
spict,2491,3636,11054,2225,5020,2655,2755,4483,1694,596,1838,1181
CG15484,0,0,0,0,0,0,0,0,0,0,0,0
CG6180,1117,1445,3396,615,1430,904,1539,2082,2427,1708,3337,1658
CG5787,175,188,504,127,302,187,163,305,433,190,436,66
Pih1D1,205,253,639,110,429,247,387,351,1036,457,599,290
MRP,0,408,153,38,161,120,96,59,377,0,273,16
mir-9382,0,5,0,0,0,0,0,0,0,0,0,0
CG15483,0,0,0,0,0,0,0,0,0,0,0,0
lncRNA:CR46206,0,0,0,0,0,0,0,0,0,0,0,0
lncRNA:TS9,0,0,0,0,0,0,0,0,0,0,0,0
lncRNA:CR43818,0,0,0,0,0,0,0,0,0,0,0,0
kek1,459,1030,2129,827,1202,486,919,952,1655,1176,1254,1601
lncRNA:CR44970,0,0,0,0,1,0,0,0,0,0,0,0
lncRNA:CR44971,0,0,0,0,0,0,0,0,0,0,0,0
ACXC,0,0,0,0,0,0,0,0,0,0,0,0
ACXB,0,0,0,0,0,0,0,0,0,0,0,0
ACXA,0,0,0,0,0,0,0,0,0,0,0,0
ACXE,0,0,0,0,0,0,0,0,0,0,0,0
lncRNA:CR44183,0,0,0,0,0,0,0,0,0,0,0,0
CG16800,0,0,0,0,0,0,0,0,0,0,0,0
Vha68-2,1796,2533,4521,1364,5943,3816,1854,3355,8308,5328,7165,4814
Vha68-3,0,0,0,0,0,1,0,0,0,0,0,0
Yip1d1,1144,1338,2969,965,1693,1451,1225,1632,1080,816,1493,727
Vha68-1,0,66,18,2,5,2,2,2,3,1,2,3
Tor,417,135,4,156,75,59,72,225,11,6,257,116
CG9934,141,309,179,66,35,44,167,202,413,461,344,306
A16,297,445,451,270,505,497,339,457,668,366,814,476
CG9932,22,79,24,11,409,62,124,212,205,74,36,238
lncRNA:CR44197,0,2,0,0,0,0,0,0,0,0,0,0
lncRNA:CR45447,0,0,0,0,0,0,0,0,0,0,0,0
lncRNA:CR45461,0,0,0,0,0,0,0,0,0,0,0,0
Ttc30,0,0,0,0,0,0,0,0,0,0,0,0
CG44198,0,0,0,0,0,0,0,0,0,0,0,0
CG43050,0,0,0,0,0,0,0,0,0,0,0,0
CG5122,0,0,0,0,0,0,0,0,0,0,0,0
CG9928,0,0,0,0,0,0,0,0,0,0,0,1
CG16978,0,0,0,0,0,0,0,18,0,0,0,5
lncRNA:CR44199,0,0,0,0,0,0,0,1,0,0,0,0
Pk34A,0,0,0,0,0,0,0,0,0,0,0,0
kmg,0,0,0,0,0,0,0,0,0,0,0,0
DnaJ-H,345,452,382,266,742,238,609,592,332,314,267,355
Sirt1,63,347,220,87,218,118,76,203,520,267,90,489
Sfmbt,203,203,23,46,136,33,25,6,71,87,89,587
asRNA:CR46256,0,19,0,4,0,2,0,0,20,23,1,0
CG43925,0,0,0,0,2,0,2,0,2,0,7,0
CG5439,313,283,572,294,154,263,176,423,454,543,339,332
CG5287,162,362,927,119,632,454,655,565,395,101,239,334
CG31849,142,301,592,225,627,357,374,173,108,197,191,354
CG5458,0,6,19,0,1,5,6,20,0,0,7,2
CG16974,197,1752,552,699,295,724,340,1432,1726,613,1343,550
Edem2,14,479,155,211,843,529,382,705,322,277,881,220
CG16972,7,57,166,33,36,38,120,3,182,23,115,55
Pect,279,781,1510,463,1219,764,537,841,461,128,507,124
CG15482,0,0,0,0,0,0,0,0,0,0,0,0
snRNA:U2:34ABa,0,0,0,0,0,0,0,0,0,0,0,0
kek4,0,0,0,0,0,0,0,0,0,0,0,0
snRNA:U2:34ABb,0,0,0,0,0,0,0,0,0,0,0,0
CG9426,9,59,357,71,15,93,76,261,278,111,253,181
mRF1,31,26,0,2,6,28,23,83,0,44,1,0
Ski6,283,318,825,108,122,219,268,345,287,337,620,403
CG16812,89,257,73,64,294,175,147,97,218,482,394,260
CG15480,0,0,0,0,0,0,0,0,0,0,0,0
CG16813,0,0,0,0,0,0,0,0,0,0,0,0
CG16815,0,0,0,0,0,0,0,0,0,0,0,0
Prosalpha6T,0,0,0,0,0,0,0,0,0,0,0,0
Mabi,0,0,0,0,0,0,0,0,0,0,0,0
CG5867,0,0,0,0,0,0,0,0,0,42,0,18
CG5945,0,0,0,0,0,0,0,0,0,0,0,0
asRNA:CR45330,0,0,0,0,0,0,0,0,0,0,0,0
snRNA:U2:34ABc,0,0,0,0,0,0,0,0,0,0,0,0
snRNA:U5:34A,0,0,0,0,0,0,0,0,17,0,18,0
CG16820,234,203,1112,98,260,68,86,118,1602,1011,1405,445
l(2)k05911,5628,6257,5762,2792,5789,5650,3138,6015,8682,5583,4723,4446
Naa20B,0,0,0,0,0,2,0,0,0,0,0,0
CG31730,0,0,0,0,0,0,0,0,0,0,0,0
CG44085,6,0,0,0,18,0,0,0,15,0,0,13
CG31848,0,0,0,0,0,0,0,0,0,0,0,0
Drep4,266,101,219,46,154,118,48,146,3,49,243,75
asRNA:CR44083,0,0,0,0,9,0,0,0,0,0,0,0
Uvrag,3,129,117,65,63,71,51,92,204,3,270,288
asRNA:CR44972,0,0,0,0,0,0,0,0,0,0,0,0
CG31729,33,585,87,235,498,341,297,591,273,363,127,734
CG16824,0,1,42,0,6,0,0,0,26,0,0,0
CG43778,0,0,0,0,0,0,0,0,0,0,0,0
CG16825,0,0,0,0,0,0,0,0,0,0,0,0
CG43779,0,0,0,0,0,0,0,0,0,0,0,0
CG16826,0,0,0,0,0,0,0,0,0,0,0,0
CG9395,0,0,0,0,0,4,0,0,0,0,0,0
CG9377,0,0,0,0,0,0,0,0,0,0,0,0
Nnp-1,425,627,841,267,686,885,312,792,1673,1420,1499,605
CG6523,553,606,1916,247,785,509,665,660,877,590,1169,623
Tap42,305,286,308,132,377,238,495,284,212,364,469,213
CG31855,268,476,1992,234,596,540,645,803,319,252,605,390
ND-B22,1119,1161,3455,675,1681,1111,1343,1371,2026,1099,2049,954
Bdp1,75,195,137,128,35,74,201,246,618,480,447,434
CG6565,77,479,551,261,562,311,336,772,1855,764,807,706
CG9302,1113,1977,3062,856,2977,2241,1565,2744,2305,857,1161,949
beta'COP,2293,5792,7701,2168,6524,4738,3087,5207,5502,4758,5359,3955
loqs,210,24,131,33,61,148,123,225,184,163,164,138
asRNA:CR44599,0,0,0,0,0,0,0,0,0,0,0,0
Ing5,186,367,606,106,431,217,185,248,119,274,283,163
CG7099,0,8,0,1,50,2,19,0,18,0,0,0
RpL24,947,1404,5148,611,2297,876,1914,2630,4808,2745,4381,4367
CG16957,0,0,0,0,0,1,0,0,0,0,0,0
CG10859,0,0,0,0,0,0,0,0,0,0,0,0
asRNA:CR44600,0,0,0,0,0,0,0,0,0,0,0,0
CG7110,5,0,1,0,0,0,40,0,133,329,20,0
Vm34Ca,0,0,0,0,0,0,0,0,0,0,0,0
CG16848,0,0,0,0,0,0,0,0,0,0,0,0
CG16956,0,0,0,0,0,0,0,0,0,0,0,0
CG42784,0,0,0,0,0,0,0,0,0,0,0,0
CG43850,0,0,0,0,0,0,0,0,0,0,0,0
Tehao,0,0,0,0,0,0,0,0,0,0,0,0
asRNA:CR45683,0,0,0,9,0,2,0,0,0,0,0,0
Hacd2,383,749,2235,498,1038,722,2115,1286,966,926,1455,2321
Hsp60D,0,0,0,0,0,0,0,0,0,0,0,0
CG42809,0,0,0,0,0,0,0,0,0,0,0,0
lncRNA:CR45684,0,0,0,0,0,0,0,0,0,0,0,0
CG42810,0,0,0,0,0,0,0,0,0,0,0,0
CG46308,0,0,0,0,0,0,0,0,0,0,0,0
B4,14,179,78,115,331,189,6,60,91,0,55,7
CG33640,0,0,0,0,0,0,0,0,0,0,0,0
CG33641,0,0,0,0,0,1,0,0,0,0,0,0
CG33642,0,0,0,0,0,0,0,0,0,0,0,0
CG33643,0,0,0,0,0,0,0,0,0,0,0,0
CG33644,0,0,0,0,0,0,0,0,0,0,0,0
CG33645,0,0,0,0,0,0,0,0,0,0,0,0
CG15638,0,0,0,0,0,0,0,0,0,0,0,0
CG16852,0,0,0,0,0,0,0,0,0,0,0,0
CG9263,0,0,0,0,0,0,0,0,0,0,0,0
CG16853,0,0,0,0,0,0,0,0,0,0,0,0
kuz,381,953,2071,422,1879,456,1089,1148,428,353,558,1050
lncRNA:CR44973,0,0,0,0,0,0,0,0,0,0,0,0
CG9254,0,0,0,0,1,0,0,0,0,0,0,0
mir-2489,0,0,0,0,0,0,0,0,0,0,0,0
lncRNA:CR43410,0,0,0,0,0,0,0,0,0,0,0,0
ics,1432,1052,3435,428,1726,1144,1304,1260,453,344,865,397
lncRNA:CR44726,0,0,0,0,0,0,0,0,0,0,0,0
CG18507,940,1251,2290,848,1760,1482,1658,2123,1729,855,1429,1014
DIP-kappa,0,0,0,0,0,0,0,0,0,0,0,0
Gpo3,0,0,0,0,0,0,0,0,0,0,0,0
CG9014,0,0,0,0,0,0,0,0,0,0,0,0
nur,0,0,0,0,0,0,0,0,0,0,0,0
lncRNA:CR45913,0,0,0,0,0,0,0,0,0,0,0,0
TM9SF4,4456,3966,8508,2139,8845,6067,4064,5458,4938,2820,4183,4786
lncRNA:CR44846,0,0,0,0,0,0,0,0,0,0,0,0
mir-1002,0,0,0,0,0,0,0,0,0,0,0,0
mir-968,0,0,0,0,0,0,0,0,0,0,0,0
CG43376,0,0,0,0,0,0,0,0,0,0,0,0
CG9008,127,308,1,84,178,86,40,115,105,186,145,288
asRNA:CR31845,0,0,0,0,0,0,0,0,0,0,0,0
p38b,538,639,1782,446,2006,911,600,778,1581,1548,1359,1019
CG16890,33,32,76,14,37,69,59,197,0,59,0,80
Eato,226,595,306,41,218,101,333,262,504,25,90,119
asRNA:CR44847,0,0,0,0,0,0,0,0,0,0,0,0
CG16863,0,45,0,21,0,0,0,0,0,0,125,0
Sec71,22,98,43,30,103,117,127,46,36,0,189,2
CAH1,433,454,1372,324,810,831,726,878,470,365,1178,537
Adat1,62,37,100,19,4,9,8,107,54,95,48,36
CG16865,134,152,297,74,152,77,164,138,135,154,159,0
CG16888,0,0,0,0,0,0,0,0,0,0,0,0
Sos,6,149,107,0,16,20,81,28,103,11,67,157
b,211,270,875,259,2245,70,43,112,97,117,58,70
tam,0,37,0,17,8,26,0,0,345,0,171,5
